team,group,1st,2nd,3rd,4th
Mexico,A,78.82,16.93,3.83,0.42
South Korea,A,17.79,52.89,24.94,4.38
Czech Republic,A,1.85,11.79,36.99,49.37
South Africa,A,1.54,18.39,34.24,45.83
Canada,B,47.6,31.6,15.1,5.6
Switzerland,B,38.4,30.8,23.4,7.3
Bosnia and Herzegovina,B,11,26.9,37.4,24.7
Qatar,B,3,10.6,24,62.4
Brazil,C,55.1,31.3,10.9,2.7
Morocco,C,29.2,47.1,20.7,3
Scotland,C,14.1,18,51.1,16.8
Haiti,C,1.6,3.6,17.3,77.5
United States,D,61.9,23.3,12.7,2.2
Turkey,D,4.2,17.8,34.9,43.1
Australia,D,31.4,43.3,21.3,3.9
Paraguay,D,2.4,15.6,31.1,50.9
Germany,E,60.1,26,13.8,0.1
Ivory Coast,E,36.6,45.7,17.2,0.5
Ecuador,E,3.2,27.4,64.3,5.1
Curacao,E,0.1,0.9,4.8,94.2
Netherlands,F,46.5,33.4,13.8,6.3
Japan,F,31.6,38.7,20.3,9.4
Sweden,F,19.4,23.4,47.1,10.1
Tunisia,F,2.6,4.5,18.8,74.2
Belgium,G,52.8,27.8,13.4,6
Egypt,G,26.4,39.2,21.2,13.2
Iran,G,16.1,21.2,38.8,23.9
New Zealand,G,4.8,11.8,26.5,57
Spain,H,58.8,27.8,11.2,2.2
Uruguay,H,30.4,37.9,26,5.7
Cape Verde,H,8.4,24.2,39,28.4
Saudi Arabia,H,2.4,10.1,23.9,63.7
France,I,74.2,24.2,1.6,0
Norway,I,24.1,54.1,21.6,0.3
Senegal,I,1.7,20.8,63.8,13.7
Iraq,I,0.1,0.8,13.1,86
Argentina,J,83.32,15.6,1,0
Austria,J,15.69,68.4,15.5,0.4
Algeria,J,0.076,14.3,54.5,30.4
Jordan,J,0.023,1.7,29,69.1
Colombia,K,72.3,19.8,7.6,0.4
Portugal,K,21.2,46,24.7,8.1
DR Congo,K,5.9,25.2,49.8,19.1
Uzbekistan,K,0.7,9.1,17.9,72.4
England,L,88.3,9.6,1.9,0.2
Croatia,L,4.7,52.7,28.2,14.4
Panama,L,6.3,32,54.4,7.2
Ghana,L,0.6,5.7,15.5,78.2
